conf_continuity,conf_frenet_unambiguity,conf_line_type,conf_observation_support,conf_rgb_consistency,conf_strength,conf_structure,confidence,coverage,end_s_m,fit_max_error_m,fit_p95_m,fit_rmse_m,frenet_ambiguity_ratio,geometry_fit,index,interpolated_ratio,kind,lane_number,length_m,line_type,max_frenet_ambiguity_run_m,max_gap_m,max_unknown_gap_m,max_valid_gap_m,mean_strength_sigma,median_d_m,median_off_m,median_on_m,median_step_m,neighbour_spacing_m,observed_on_valid_ratio,observed_ratio,output_label,review_priority,review_reasons,review_required,rgb_median_luminance,rgb_median_saturation,rgb_paint_coverage,rgb_rgb_valid_coverage,rgb_white_coverage,rgb_yellow_coverage,sensor_valid_ratio,sign_consistency,source,start_s_m,vertex_reduction_ratio,vertices,vertices_after,vertices_before,conf_sensor_validity,conf_sign_consistency,conf_step_height
1.0,1.0,1.0,1.0,1.0,0.998,1.0,0.9996,1.0,100.0,0.1049,0.0757,0.0421,0.0,spline,0,0.0,lane,L3,77.0,Solid_line,0.0,0.0,0.0,0.0,5.99,-8.767,0.0,77.0,,3.497,1.0,1.0,lane_line,0.0004,,False,204.071,0.0377,0.8214,0.8279,0.8214,0.0,1.0,,auto_intensity,23.25,0.9448,17,17,308,,,
1.0,1.0,1.0,1.0,1.0,0.962,1.0,0.9908,1.0,23.5,0.0402,0.0331,0.0187,0.0,spline,1,0.0,lane,L3,23.5,Solid_line,0.0,0.0,0.25,0.0,5.771,-8.73,0.0,11.625,,3.456,1.0,1.0,lane_line,0.0092,,False,204.533,0.0385,0.8298,0.8298,0.8298,0.0,0.9893617021276596,,auto_intensity,0.25,0.9255,7,7,94,,,
0.755,1.0,1.0,0.683,0.0,0.543,1.0,0.6073,0.5121,96.75,0.108,0.0833,0.0496,0.0,spline,2,0.4906166219839142,lane,L2,93.25,Solid_line,0.0,10.5,0.25,10.5,3.259,-5.274,0.25,0.5,,3.456,0.5121293800539084,0.5093833780160858,lane_line,0.4452,,False,92.0,0.0625,0.0,0.8391,0.0,0.0,0.9946380697050938,,auto_intensity,3.75,0.9276,27,27,373,,,
0.722,1.0,1.0,1.0,0.843,1.0,1.0,0.9464,0.4425,88.0,0.0957,0.0645,0.0412,0.0,spline,3,0.5558823529411765,lane,L1,85.0,Dashed_line,0.0,11.75,0.25,11.75,6.456,-1.763,11.0,4.0,,3.506,0.4424778761061947,0.4441176470588235,lane_line,0.1124,,False,95.4755,0.0482,0.3794,0.8176,0.3794,0.0,0.9970588235294118,,auto_intensity,3.25,0.9206,27,27,340,,,
0.691,1.0,1.0,1.0,0.705,1.0,1.0,0.9163,0.3807,88.0,0.1179,0.0885,0.0432,0.0,spline,4,0.6175637393767706,lane,R1,88.25,Dashed_line,0.0,15.5,0.25,15.5,6.132,1.743,11.25,4.0,,3.496,0.3806818181818182,0.38243626062322944,lane_line,0.1612,,False,93.829,0.0533,0.3173,0.8385,0.3173,0.0,0.9971671388101983,,auto_intensity,0.0,0.9263,26,26,353,,,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,99.75,0.1245,0.0646,0.0399,0.0,spline,5,0.0,lane,R2,100.0,Solid_line,0.0,0.0,0.25,0.0,6.229,5.235,0.0,16.0,,3.496,1.0,1.0,lane_line,0.0,,False,203.772,0.0376,0.8675,0.8675,0.8675,0.0,0.995,,auto_intensity,0.0,0.925,30,30,400,,,
,1.0,,1.0,,,,0.9697,0.6949,100.0,0.231,0.1397,0.0773,0.0,spline,6,0.3075,curb,,100.0,,0.0,4.0,0.75,2.5,0.463,-10.053,0.25,0.5,0.13009047508239746,nan,0.6948640483383686,0.6925,curb_boundary,0.0503,,False,145.338,0.0638,0.525,0.8275,0.525,0.0,0.8275,1.0,auto_z_step,0.25,0.935,26,26,400,0.828,1.0,0.96
,1.0,,0.838,,,,0.9338,0.5029,99.75,0.3357,0.1787,0.0861,0.0,spline,7,0.4775,curb,,100.0,,0.0,14.75,1.0,4.5,0.469,10.061,0.25,0.5,0.13024604320526123,nan,0.5029239766081871,0.5225,curb_boundary,0.14,,False,146.7375,0.0658,0.635,0.855,0.635,0.0,0.855,1.0,auto_z_step,0.0,0.94,24,24,400,0.855,1.0,0.961
1.0,1.0,1.0,1.0,1.0,0.965,0.75,0.9616,1.0,45.0,0.0977,0.0577,0.0288,0.0,line,8,0.0,hatch,,15.25,Solid_line,0.0,0.0,0.0,0.0,5.789,2.422,0.0,15.25,,0.689,1.0,1.0,lane_line,0.1384,hatch_candidate,True,204.604,0.034,0.8361,0.8689,0.8361,0.0,1.0,,auto_hatch_candidate,30.0,0.9344,4,4,61,,,
0.984,1.0,1.0,1.0,1.0,0.95,0.75,0.9568,0.9677,45.0,0.0598,0.0468,0.0243,0.0,spline,9,0.03225806451612903,hatch,,15.5,Solid_line,0.0,0.25,0.0,0.25,5.702,3.324,0.25,0.5,,1.599,0.967741935483871,0.967741935483871,lane_line,0.1445,hatch_candidate,True,204.255,0.0429,0.8226,0.8548,0.8226,0.0,1.0,,auto_hatch_candidate,29.75,0.9194,5,5,62,,,
0.959,1.0,1.0,1.0,1.0,0.975,0.75,0.9607,0.9167,44.75,0.0701,0.0536,0.0266,0.0,line,10,0.08196721311475409,hatch,,15.25,Solid_line,0.0,0.5,0.25,0.5,5.849,4.223,0.5,0.25,,1.002,0.9166666666666666,0.9180327868852459,lane_line,0.1418,hatch_candidate,True,204.447,0.0338,0.8033,0.8361,0.8033,0.0,0.9836065573770492,,auto_hatch_candidate,29.75,0.9344,4,4,61,,,
